address,advantage,city,company_name,education,industry,industryLables,label,position_detail,position_name,salary,size,stage,work_year
'未知',"期权激励,酷炫产品,人性化管理",杭州,杭州机慧科技有限公司,硕士,"移动互联网,硬件",,"'绩效奖金', '股票期权', '专项奖金', '年终分红'",职位描述：岗位职责：1.?与其他算法研究人员或工程师配合研究和实现新算法2.?与产品团队配合进行算法实用性调优任职资格：1.?本科及以上学历，对计算机视觉有浓厚兴趣2.?精通常见的机器学习算法，并熟悉至少一个视觉分支的最新进展和各种算法3.?精通c/c++、python，熟悉tensorflow、caffe等至少一种深度学习框架者优先4.?有计算机视觉或深度学习相关的科研经历和工程经验者优先5.?良好的英文听说读写能力,机器学习工程师,37500,少于15人,未融资,3-5年
"'安德门', '铁心桥'","大牛多,氛围好,弹性工作,晋升空间大",南京,上海阅面网络科技有限公司,硕士,移动互联网,,"'年底双薪', '专项奖金', '股票期权', '带薪年假'",职位描述：职位描述1. 从事基于深度学习的人脸、人体等核心计算机视觉算法的研发2.? 设计能够达到国际领先的具体算法，根据项目需求，完成算法的设计、验证和优化3.? 负责相关图像处理和识别算法的代码实现、集成、测试与维护4.? 撰写相关发明专利申报等文档岗位要求1. 985/211院校计算机、数学等相关专业毕业，硕士及以上学历2. 精通C/C++编程，熟练使用Caffe/TensorFlow/Torch等深度学习工具3. 在人脸识别、人体行为分析、通用物体检测等领域有2年以上相关研究经验，发表过高水平论文或相关专利4. 有深度学习模型裁剪、量化等嵌入式端加速经验者优先5. 参加ACM/ImageNet/COCO等竞赛获奖者优先,深度学习工程师,30000,50-150人,A轮,1-3年
"'京广桥', '朝外', '东大桥'","前沿领域,公司前景好,团队氛围好",北京,北京亮亮视野科技有限公司,硕士,移动互联网,,"'年底双薪', '扁平管理', '五险一金', '午餐补助'",职位描述：岗位职责：?参与公司核心算法工作，实现相关算法的产品化?任职要求：?1、掌握caffe和pytorch等深度学习框架；?2、深刻理解和掌握主流的深度学习模型，熟悉深度神经网络训练调优；?3、熟练掌握C++或python，掌握opencv等常用工具；?4、在深度学习相关方面发表过高质量论文者优先。,深度学习工程师,25000,50-150人,B轮,不限
'未知',"弹性工作,股票期权,精英团队,技术驱动",北京,北京缤歌网络科技有限公司,硕士,"移动互联网,O2O",,"'股票期权', '带薪年假', '扁平管理', '领导好'",职位描述：岗位职责:1、负责深度学习平台研发；2、研发人脸识别、物品识别、检测与跟踪、行人跟踪与统计、动作识别等功能产品；3、保证以上产品可以在现有平台上正常运转。任职资格:1、硕士以上学历，三年以上工作经验，具备CV&ML领域扎实的基础理论和丰富的实践经验，熟悉Deep DNN/CNN理论；2、熟练掌握C++、Python、docker／kubernetes和GPU编程，熟悉Linux编程环境；3、对Caffe、TF 、MXnet等深度学习框架有深入的实践，熟练掌握深度卷积神经网络的调参策略；4. 了解开源社区，有开源项目贡献者加分；5、具有良好的沟通能力，和良好的团队合作精神。,深度学习工程师,45000,500-2000人,B轮,3-5年
'南头',"周末双休,发展空间大,年终分红,期权",深圳,行云智能（深圳）技术有限公司,本科,"移动互联网,硬件",,"'年终分红', '绩效奖金', '专项奖金', '带薪年假'",职位描述：岗位职责：1.展开机器学习/深度学习等相关领域研究和开发工作；?2.负责从事深度学习框架搭建，包括机器学习、图像处理等的算法和系统研发;?3.支持公司相关产品深度学习相关研究；岗位要求：1.机器学习/模式识别等相关专业本科及以上学历；2.在深度学习领域有理论研究和实践经验；3.精通C++，有项目开发经验；4.善于解决和分析问题，富有想象力和学习能力，良好的团队合作精神，有创造性思维，有推进人工智能的理想和使命感。有以下经验者优先：a.有深度学习相关经验，有RNN，CNN模型训练经验，熟悉常用的深度学习软件（如Caffe，Tensorflow，Theano等）；,深度学习工程师,22500,15-50人,天使轮,应届毕业生
'未知',"待遇高,技术前沿,领导好,发展空间大",北京,哈尔滨新中新电子股份有限公司,硕士,"移动互联网,企业服务",,"'弹性工作', '管理规范', '岗位晋升', '五险一金'","职位描述：岗位描述：1、针对公司机器人项目，在图像算法方案上深入研究、设计和开发；2、在研发项目中积累和储备自有核心技术，形成自主知识产权；3、支持机器人项目立项阶段的技术研究和论证工作。?岗位职责：1、研究拟制、组织执行所分管产品的AI算法研究及开发；2、负责图像识别等前沿技术的研究，包括图像处理、识别等；3、负责相关算法的预研、算法设计和实现，以及文档的书写等整套流程；4、把最顶尖的算法应用到各种有挑战性的现实场景中；基于产品需求和用户场景进行技术方案整合，包括算法选型，解决方案流水线搭建以及实用性调优。5、定义算法接口，与软件有效对接；6、负责整理算法需要的样本数据。任职要求：1、性别不限，年龄约26-35岁，研究生及以上学历，计算机、模式识别、计算机视觉、数学等相关专业；2、3年以上算法开发经验,精通C/C++语言的算法程序设计、熟悉OpenCV、Python、Matlab等开发工具；??3、对于视频、图像和计算机视觉处理算法有比较深的理解：比如OCR、图像检索、人脸识别、图像滤镜特效、图像去噪、复原、质量改善、图像分割、色彩科学等方向有深度研究；4、熟悉常见深度学习、计算机视觉和模式识别知识和算法，熟练使用Caffe、TensorFlow、Torch等主流深度学习框架的一种或多种；5、熟悉英伟达GPU平台，有TC或TX系列GPU平台算法开发经验优先。",深度学习工程师,35000,500-2000人,上市公司,3-5年
'张江',"别墅区办公,大牛同事",上海,魔视智能科技（上海）有限公司,硕士,"企业服务,其他",,"'股票期权', '带薪年假', '定期体检', '弹性工作'","职位描述：职位描述： 魔视智能科技/Motovis是英恒集团孵化的创业项目，它将国际最先进的人工智能技术应用于汽车辅助驾驶和自动驾驶。Motovis汇聚了国际顶尖的人工智能技术专家，中国汽车电子最强的市场渠道及成熟的产业化工程经验。 其核心团队目前在自动驾驶和辅助驾驶国际权威测试集Cityscapes排名世界第一，并在Kitti、Imagenet等诸多相关测试中排名领先。基于深度学习和FPGA平台的前视ADAS嵌入式产品已开发成功并在多家车厂及Tie1应用，是国内市场无可争议的引领者。深度学习算法工程师将和Motovis国内及海外的研发团队协作，接受国际顶级深度学习算法专家教授的指导，深入研究基于深度学习的视频人工智能新技术，以提供国际领先的以视觉为基础的自动驾驶感知与认知解决方案，推动自动驾驶时代交通出行方式变革与模式创新。  岗位职责： 1. 基于深度学习的目标检测、识别、场景理解、视频分析相关算法的研究、实现和完善。 2. 业内和学术界先进技术的跟踪和原型化。  岗位要求： 1.掌握机器学习/深度学习等相关知识，有该领域算法的研究或开发经验； 2.具有较强的编程能力，熟悉C/C++,python等开发工具； 3.熟悉神经网络的各种模型，如：卷积神经网络，递归神经网络等； 4.熟悉深度学习的开源框架，如Caffe、TensorFlow等； 5.具有数学、计算机、电子、自控、通信等相关专业的硕士或博士学历及以上;6.在公开测试集取得优异效果、或在NIPS/CPVR等顶级会议发表论文、或有深度学习的产品研究经验者优先  薪资待遇： 1.极具市场竞争力的薪酬 2.完备的五险一金及各项其它福利 3.有机会进入股权激励计划职能类别：算法工程师",深度学习工程师,30000,50-150人,A轮,不限
'未知',"双休,五险一金,节日福利,各种创新奖",成都,成都掌中全景信息技术有限公司,硕士,移动互联网,,"'五险一金', '周末双休', '加班补助', '朝九晚五'",职位描述：岗位职责：1. ?图像/视频方向的深度学习算法研究与实现2. ?运行Caffe并调整、优化网络结构岗位要求：1. ?硕士学历；数学、图像处理、机器视觉、模式识别等领域相关专业2. ?熟练掌握MATLAB/Python、C、C++等编程语言，有深度学习、特征提取、图像检索相关研究经验者优先,深度学习工程师,10500,50-150人,未融资,1-3年
'未知',"免费健身房,五险一金,技术驱动",北京,北京缤歌网络科技有限公司,硕士,"移动互联网,O2O","'电商', '新零售', '图像处理'","'股票期权', '带薪年假', '扁平管理', '领导好'",职位描述：职位描述：1、负责开发基于深度学习的高性能图像与视频处理算法，以应用于智能视频分析，目标对象检测分类，图像描述，语义分析；2、提出和实现前沿的算法，并对深度学习算法的效果改进、性能优化；3、负责根据人工智能产品需求完成技术方案设计及算法设计和核心模块开发，组织解决项目开发过程中的重大技术问题；4、独立负责深度技术平台的架构、开发方案的设计、应用与实现（包括机器学习、图像处理等的算法），并分解成模块带领开发完成。职位描述：1、计算机、自动化、物理类、应用数学等国家统招重点院校或国外知名院校硕士以上学历，具备机器学习，深度学习工作经验；2、有以下领域之一的背景：机器学习/机器视觉/图像识别/语音识别/自然语言处理等；3、熟悉深度学习开源平台，如TensorFlow、Torth、Caffe、Theano 、OpenAI等，并且至少具有一个平台上的项目开发经验；4、精通C/C++、python、Java、matlab、opencv等编程语言与工具(三项以上）；能够用来进行高质量/高效率二次开发；5、熟悉Linux/Unix平台上的开发环境，有移动操作系统（iOS/Android）开发经验更佳；6、熟悉图像识别，视频/语音处理，流媒体技术的优先；7、强大的代码编写能力，以及对于开发部门员工的核心能力提升的培训能力；8、具备较好的心理素质和工作承压能力，较强的沟通和团队合作精神，对技术富有钻研精神，认真、踏实、责任心强。,深度学习工程师,30000,500-2000人,B轮,3-5年
'未知',"大牛多,技术氛围好,平台好,前景好",苏州,北京阿丘科技有限公司,本科,"企业服务,硬件",,"'大牛众多', '弹性工作', '绩效奖金', '带薪年假'",职位描述：岗位职责：1、负责深度学习相关算法工作；2、与传统计算机视觉算法结合，完善深度学习算法效果。一名合格的炼丹师需要：1、精通C/C++或Python语言，有良好的数学基础、数据分析和编码能力；2、精通TensorFlow或Caffe等深度学习框架，具备模型训练和参数调优能力；3、精通DNN/CNN/RNN等，熟悉对抗网络GAN、强化学习算法；4、掌握机器学习相关的常用算法，在深度学习方面有实战项目经验。,深度学习工程师,18000,50-150人,A轮,不限
'未知',六险一金餐补旅游下午茶技术分享体检等,杭州,杭州相芯科技有限公司,硕士,"数据服务,社交网络",,"'年底双薪', '带薪年假', '绩效奖金', '定期体检'",职位描述：职位描述：1.?视觉/机器学习相关算法的调研和实现；2.?深度学习网络的优化和手机端应用；3.?和产品进行对接。职位要求：1.?本科或以上学历，计算机/数学相关专业；2.?良好的编程基础，对C/C++有一定程度的掌握；3.?熟悉深度学习开发框架，如Caffe/Caffe2，TensorFlow等；4.?参加过视觉/机器学习比赛并有不错的成绩，或者独立完成过相关项目是加分项；5.?对新技术保持追踪和了解，能够分析不同技术的优缺点和适用范围。6.?良好的英文文献阅读能力，能快速实现技术原型。,深度学习工程师,24000,150-500人,A轮,1-3年
"'望京', '来广营'","无人驾驶,技术大牛",北京,北京三快在线科技有限公司,硕士,"移动互联网,O2O",,"'技能培训', '绩效奖金', '岗位晋升', '领导好'","职位描述：工作职责? 负责无人驾驶系统中，视觉感知算法方面的开发和研究工作。职位要求具有良好的深度学习基础，熟悉主流的深度学习模型CNN, RNN, DNN, GAN。对主流的深度学习视觉模型Resnet, VGG, AlexNet, Inception等有着很深入的研究精通计算机视觉中的目标检测、图像分割、目标跟踪、深度预估和运动物体预测等领域。具有图像学基础，精通图像特征提取，相机模型和图像处理。具备很好的数学功底，熟悉机器学习的数学推理，精通求解优化算法。熟悉深度学习模型压缩，了解MobileNet, ShuffleNet等模型原理。扎实的编程基础，熟悉C++, Python， 熟悉OpenCV。加分项：在计算机视觉顶会CVPR, ECCV, ICCV发表过论文的优先。具有计算机视觉方向博士学位优先。",深度学习工程师,47500,2000人以上,D轮及以上,3-5年
"'漕宝路', '万源城', '东兰路'","10亿用户,行业独角兽,股票期权",上海,上海触乐信息科技有限公司,硕士,"移动互联网,数据服务",,"'管理扁平', '发展空间大', '行业独角兽', '带薪年假病假'",职位描述：工作职责：1、负责机器学习、深度学习领域的技术研发工作，包括但不限于神经网络模型设计与优化、强化学习、迁移学习、主动学习、维度降低、核方法、谱方法、特征提取与稀疏学习、等级学习、推荐、随机优化等算法和系统研发；2、对计算机视觉、语音识别、自然语言处理等某个领域内提供模型支持；3、负责机器学习尤其是深度学历前沿问题的探索与研究，结合未来实际应用场景，提供全面的技术解决方案；职位要求：1、计算机视觉、机器学习、人工智能、数据挖掘、自然语言处理、语音识别等领域的相关专业，如计算机科学等；2、掌握C/C++、PHP、Python、Shell等至少一门常用语言，熟悉数据结构和算法，并能够合理使用；3、有深度学习研究或工程项目经验者优先。,深度学习工程师,40000,150-500人,D轮及以上,3-5年
'四惠',"弹性制,福利多多,大牛多多,标配2块屏",北京,北京推想科技有限公司,本科,"医疗健康,数据服务","'医疗健康', '人工智能', '机器学习', '计算机视觉'","'午餐补助', '股票期权', '定期体检', '弹性工作'","职位描述：【工作职能】：  1.基于Linux操作系统，对TB级医疗图像及文本数据进行分析、清洗。 2.负责基于深度学习的医学影像分析核心算法的研发。 3.跟踪最前沿的深度学习研究发展，将技术应用于医疗图像诊断。 4.设计并实现创新型模型解决特定的医疗难题。 5.参与产品的设计和改进，将医生病人的反馈回馈到模型的研发更新中。  【技能和要求】  1.本科及以上学历。有机器学习、深度学习、计算机视觉相关研究经验者优先。2.熟悉Python\JAVA\C\C++编程中至少一项，有实际工程项目开发经验者优先。3.熟悉深度学习相关算法原理，有算法应用经验者优先。4.熟悉深度学习框架中的至少一种，如Tensorflow, Caffe, MXnet等。5.熟悉GPU原理，拥有CUDA开发经验者优先6.在计算机视觉、机器学习、和医学图像分析等顶级会议或杂志发表深度学习相关论文者优先",深度学习工程师,15000,150-500人,B轮,不限
'未知',"周末双休,五险一金,早九晚六,发展空间大",成都,北京元纯语义文化科技有限公司,大专,"移动互联网,游戏","'游戏', '人工智能', '图像处理'","'""""'","职位描述：工作职责：负责图像/视频分析处理相关的深度学习算法开发，优化，参与相关项目的研发工作并完成相应的文档岗位要求：1.模式识别，图像处理，计算机，统计学，数学等专业本科及以上学历2.精通图像处理，模式识别，计算机视觉理论，有较强的数学功底3.了解深度学习算法，使用并理解风格迁移，GAN网络，具备相关扎实的理论基础4.具有较强的编程能力，精通Python编程语言，熟悉算法设计，熟悉C,C++的优先。5.有较深厚的图像处理专业背景或相关工作经验优先6.1年以上图像处理相关开发经验，欢迎优秀应届生加入7.工作积极主动，认真负责，有良好的创新意识和团队合作精神8.有动画视频处理方面经验者优先【福利】弹性上班时间；工作时间八小时；周末双休；入职即购买五险一金（公积金按最高比例购买）",深度学习工程师,12500,50-150人,不需要融资,1-3年
'未知',"周末双休,五险一金,带薪年假,福利多多",广州,广州极飞科技有限公司,本科,移动互联网,,"'五险一金', '双休', '股票期权', '带薪年假'",职位描述：岗位职责：1、负责深度学习领域的技术研发工作，主要包括图像的识别，分割，目标检测等方向；2、负责机器学习前沿问题的研究和探索，结合农业领域的实际应用场景，提供技术解决方案，提升农业智能化。岗位要求1、本科及以上学历，数学、计算机等相关专业，基础扎实；考虑优秀应届生/2019届实习生；2、熟练掌握tensorflow/pytorch/mxnet/caffe其中一种深度学习开发工具；3、熟悉常用机器学习算法，对模式识别、深度学习、强化学习、迁移学习等相关领域，有极佳的工程实现能力，精通Python、JAVA、C/C++等至少一门语言；4、有从事过图像识别，目标检测，图像分割类的项目；5、有实际成果、有在ImageNet、MSCOCO、ICDAR等权威数据库上提交过结果并取得优异成绩者优先。,深度学习工程师,15000,500-2000人,B轮,不限
'未知',"人工智能,高端前沿,前景广阔",深圳,深圳市铱硙医疗科技有限公司,硕士,"医疗健康,数据服务","'医疗健康', '人工智能', '机器学习', '图像处理'","'专项奖金', '带薪年假', '领导好', '五险一金'","职位描述：岗位职责：1、与公司国内外AI团队一起负责机器学习、深度学习相关算法研发；2、负责公司相关医疗AI产品的实现和专利论文的编写；3、维护与优化公司脑医生云平台；?技能要求：1、硕士及以上学历，计算机及相关理工科专业；2、2年以上python开发经验，有扎实的数学基础，熟悉机器学习、深度学习相关算法；3、熟悉TensorFlow, Keras, Caffe, PyTorch等常用深度学习框架至少一种；4、有使用python进行数据分析的经验，熟练使用Python常用库和工具，比如pandas，numpy，matplotlib等；5、有良好的英文文献阅读能力，适应全英文开发环境（包括英文论文／技术文档，英文交流，英文注释等）；6、善于思考，能提出高质量的问题，沟通能力良好，善于团队合作。?有以下条件者优先考虑：1、有使用python进行deep learning数据分析的经验，熟悉CNN，R-CNN；2、能够熟练使用腾讯云或者阿里云资源，例如：云服务器、信息安全、IO、存储和网络产品；3、有分布式系统开发和维护经验；4、具有计算机视觉以及数据分析专业背景；5、211、985以及国外名校计算机相关专业毕业并具备相关经验；",深度学习工程师,14000,15-50人,A轮,不限
"'望京', '大山子', '花家地'","优秀的团队,竞争力薪酬,完善的福利,技术氛围好",北京,北京陌陌科技有限公司,硕士,社交网络,,"'岗位晋升', '帅哥多', '管理规范', '技能培训'",职位描述：岗位职责：1、从事人脸识别、物体tag方面、图像美颜等方面的算法研究工作。岗位要求：1、硕士及以上学历，计算机或者模式识别等相关专业；2、1年以上深度学习方面的项目经验，从事过目标检测、物体tag项目优先；3、熟悉各种深度神经网络模型，如CNN、RNN、faster rcnn等，并掌握其相关的优化算法；4、熟练掌握C++，具有较强的编程能力。,深度学习工程师,37500,500-2000人,上市公司,1-3年
